Movie,Year,Show,Date,Category,Winner?,Nominee(s),Birthdate,Age,Image
The Day of the Locust,1975,48th Academy Awards,3/29/76,Best Supporting Actor,,Burgess Meredith,11/16/07,68,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxOTk3MzY2OF5BMl5BanBnXkFtZTcwNTI3NTMyNA@@._V1_UY317_CR8,0,214,317_AL_.jpg"
Shampoo,1975,48th Academy Awards,3/29/76,Best Supporting Actor,,Jack Warden,9/18/20,55,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1Mjk3Njc5MV5BMl5BanBnXkFtZTcwMDk2MzUzMQ@@._V1_UY317_CR7,0,214,317_AL_.jpg"
Dog Day Afternoon,1975,48th Academy Awards,3/29/76,Best Supporting Actor,,Chris Sarandon,7/24/42,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjM2MjMzMDk3N15BMl5BanBnXkFtZTgwODkyMTM4NzE@._V1_UX214_CR0,0,214,317_AL_.jpg"
One Flew Over the Cuckoo's Nest,1975,48th Academy Awards,3/29/76,Best Supporting Actor,,Brad Dourif,3/18/50,26,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxNTA2MDExOF5BMl5BanBnXkFtZTcwNDE0MDAxMw@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Shampoo,1975,48th Academy Awards,3/29/76,Best Supporting Actress,X,Lee Grant,10/31/25,50,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1NTQxMzI5MF5BMl5BanBnXkFtZTcwNTMzMDU4Mg@@._V1_UX214_CR0,0,214,317_AL_.jpg"
"Farewell, My Lovely",1975,48th Academy Awards,3/29/76,Best Supporting Actress,,Sylvia Miles,9/9/32,43,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0NDk1MTc0NV5BMl5BanBnXkFtZTcwNjU5NjMwMw@@._V1_UY317_CR13,0,214,317_AL_.jpg"
Nashville,1975,48th Academy Awards,3/29/76,Best Supporting Actress,,Lily Tomlin,9/1/39,36,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNjc5NzA2NV5BMl5BanBnXkFtZTcwNjk1MTk3Mw@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Jacqueline Susann's Once Is Not Enough,1975,48th Academy Awards,3/29/76,Best Supporting Actress,,Brenda Vaccaro,11/18/39,36,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3NDUyNDUxOV5BMl5BanBnXkFtZTcwOTUwMTIwNw@@._V1_UY317_CR1,0,214,317_AL_.jpg"
Nashville,1975,48th Academy Awards,3/29/76,Best Supporting Actress,,Ronee Blakely,8/24/45,30,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjcyNTQwNjUwMV5BMl5BanBnXkFtZTcwMzEwMzYwOA@@._V1_UY317_CR0,0,214,317_AL_.jpg"
Network,1976,49th Academy Awards,3/28/77,Best Actor,X,Peter Finch,9/28/16,60,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4NDMzMjM2Ml5BMl5BanBnXkFtZTYwNjQwMTM2._V1_UY317_CR20,0,214,317_AL_.jpg"
Network,1976,49th Academy Awards,3/28/77,Best Actor,,William Holden,4/17/18,58,"https://images-na.ssl-images-amazon.com/images/M/MV5BODI2NzM4MzA3Nl5BMl5BanBnXkFtZTcwODMxOTkxOA@@._V1_UY317_CR19,0,214,317_AL_.jpg"
Seven Beauties,1976,49th Academy Awards,3/28/77,Best Actor,,Giancarlo Giannini,8/1/42,34,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxMTMxNTMxNV5BMl5BanBnXkFtZTcwOTY5Mzc1MQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Taxi Driver,1976,49th Academy Awards,3/28/77,Best Actor,,Robert De Niro,8/17/43,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwNDU3MzcyOV5BMl5BanBnXkFtZTcwMjc0MTIxMw@@._V1_UY317_CR13,0,214,317_AL_.jpg"
Rocky,1976,49th Academy Awards,3/28/77,Best Actor,,Sylvester Stallone,7/6/46,30,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwMTk3NDU2OV5BMl5BanBnXkFtZTcwNTA3MTI0Mw@@._V1_UY317_CR6,0,214,317_AL_.jpg"
Network,1976,49th Academy Awards,3/28/77,Best Actress,X,Faye Dunaway,1/14/41,36,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4OTU5MDY0OV5BMl5BanBnXkFtZTYwNTc0MTM1._V1_UY317_CR13,0,214,317_AL_.jpg"
Face to Face,1976,49th Academy Awards,3/28/77,Best Actress,,Liv Ullmann,12/16/38,38,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MDQ2MDY3Nl5BMl5BanBnXkFtZTYwMzQ3NzQ2._V1_UY317_CR12,0,214,317_AL_.jpg"
"Cousin, Cousine",1976,49th Academy Awards,3/28/77,Best Actress,,Marie-Christine Barrault,3/21/44,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BYjllNWFiMzctYTUxMC00MDU1LThjNDUtZmIxNTY1OWE5ZjNhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTI3MDk3MzQ@._V1_UY317_CR185,0,214,317_AL_.jpg"
Rocky,1976,49th Academy Awards,3/28/77,Best Actress,,Talia Shire,4/25/46,30,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwMzc0NjQzNV5BMl5BanBnXkFtZTYwNzM0NTk3._V1_UY317_CR5,0,214,317_AL_.jpg"
Carrie,1976,49th Academy Awards,3/28/77,Best Actress,,Sissy Spacek,12/25/49,27,"https://images-na.ssl-images-amazon.com/images/M/MV5BODAwMTU4NTMwMF5BMl5BanBnXkFtZTgwMDMyMTg4MTE@._V1_UY317_CR10,0,214,317_AL_.jpg"
All the President's Men,1976,49th Academy Awards,3/28/77,Best Supporting Actor,X,Jason Robards,7/26/22,54,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5NDI3NDM4Nl5BMl5BanBnXkFtZTYwMjEwNjM2._V1_UY317_CR21,0,214,317_AL_.jpg"
Marathon Man,1976,49th Academy Awards,3/28/77,Best Supporting Actor,,Laurence Olivier,5/22/07,69,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwNjYwNDE5M15BMl5BanBnXkFtZTYwNzg0MDQ2._V1_UY317_CR18,0,214,317_AL_.jpg"
Rocky,1976,49th Academy Awards,3/28/77,Best Supporting Actor,,Burgess Meredith,11/16/07,69,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxOTk3MzY2OF5BMl5BanBnXkFtZTcwNTI3NTMyNA@@._V1_UY317_CR8,0,214,317_AL_.jpg"
Network,1976,49th Academy Awards,3/28/77,Best Supporting Actor,,Ned Beatty,7/6/37,39,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyMzQ2Mzc3MF5BMl5BanBnXkFtZTYwMDIwMDM1._V1_UX214_CR0,0,214,317_AL_.jpg"
Rocky,1976,49th Academy Awards,3/28/77,Best Supporting Actor,,Burt Young,4/30/40,36,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzMDYzNjU4Ml5BMl5BanBnXkFtZTgwMDk0OTI5MDE@._V1_UY317_CR130,0,214,317_AL_.jpg"
Network,1976,49th Academy Awards,3/28/77,Best Supporting Actress,X,Beatrice Straight,8/2/14,62,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2NTc5NjUyNF5BMl5BanBnXkFtZTcwOTc5MDAxMw@@._V1_UY317_CR26,0,214,317_AL_.jpg"
Voyage of the Damned,1976,49th Academy Awards,3/28/77,Best Supporting Actress,,Lee Grant,10/31/25,51,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1NTQxMzI5MF5BMl5BanBnXkFtZTcwNTMzMDU4Mg@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Carrie,1976,49th Academy Awards,3/28/77,Best Supporting Actress,,Piper Laurie,1/22/32,45,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTEwMzg5MDU2N15BMl5BanBnXkFtZTcwMDY5NDQ5MQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
All the President's Men,1976,49th Academy Awards,3/28/77,Best Supporting Actress,,Jane Alexander,10/28/39,37,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzODYyMTc0OF5BMl5BanBnXkFtZTYwNDc4NzU0._V1_UY317_CR10,0,214,317_AL_.jpg"
Taxi Driver,1976,49th Academy Awards,3/28/77,Best Supporting Actress,,Jodie Foster,11/19/62,14,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3MjgyOTQwNF5BMl5BanBnXkFtZTcwMDczMzEwNA@@._V1_UY317_CR1,0,214,317_AL_.jpg"
The Goodbye Girl,1977,50th Academy Awards,4/3/78,Best Actor,X,Richard Dreyfuss,10/29/47,30,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzMjIzMjM2NV5BMl5BanBnXkFtZTcwNDAxMDY0Mg@@._V1_UY317_CR4,0,214,317_AL_.jpg"
A Special Day,1977,50th Academy Awards,4/3/78,Best Actor,,Marcello Mastroianni,9/28/24,53,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyODczMTM2OV5BMl5BanBnXkFtZTYwMjE2MjI2._V1_UY317_CR17,0,214,317_AL_.jpg"
Equus,1977,50th Academy Awards,4/3/78,Best Actor,,Richard Burton,11/10/25,52,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDYzNzE3NzI5N15BMl5BanBnXkFtZTYwNDg5OTI2._V1_UY317_CR20,0,214,317_AL_.jpg"
Annie Hall,1977,50th Academy Awards,4/3/78,Best Actor,,Woody Allen,12/1/35,42,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MjU3MTI2MF5BMl5BanBnXkFtZTcwMDgxNTE4MQ@@._V1_UY317_CR1,0,214,317_AL_.jpg"
Saturday Night Fever,1977,50th Academy Awards,4/3/78,Best Actor,,John Travolta,2/18/54,24,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwNjQ0ODkxN15BMl5BanBnXkFtZTcwMDc5NjQwNw@@._V1_UY317_CR11,0,214,317_AL_.jpg"
Annie Hall,1977,50th Academy Awards,4/3/78,Best Actress,X,Diane Keaton,1/5/46,32,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjU5NjMwOTk2NV5BMl5BanBnXkFtZTYwODg1NzY0._V1_UY317_CR4,0,214,317_AL_.jpg"
The Turning Point,1977,50th Academy Awards,4/3/78,Best Actress,,Anne Bancroft,9/17/31,46,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MzQ3MTk4OV5BMl5BanBnXkFtZTcwMzIzNzgzNA@@._V1_UY317_CR17,0,214,317_AL_.jpg"
The Turning Point,1977,50th Academy Awards,4/3/78,Best Actress,,Shirley MacLaine,4/24/34,43,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0MTE5MjQ1MF5BMl5BanBnXkFtZTYwMzU2MDg1._V1_UY317_CR2,0,214,317_AL_.jpg"
Julia,1977,50th Academy Awards,4/3/78,Best Actress,,Jane Fonda,12/21/37,40,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzQ5NTE2MDAzOV5BMl5BanBnXkFtZTgwOTQ3MTQ3MjE@._V1_UY317_CR27,0,214,317_AL_.jpg"
The Goodbye Girl,1977,50th Academy Awards,4/3/78,Best Actress,,Marsha Mason,4/3/42,36,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0OTEyOTE0NV5BMl5BanBnXkFtZTcwODI3MzcyNA@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Julia,1977,50th Academy Awards,4/3/78,Best Supporting Actor,X,Jason Robards,7/26/22,55,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5NDI3NDM4Nl5BMl5BanBnXkFtZTYwMjEwNjM2._V1_UY317_CR21,0,214,317_AL_.jpg"
Star Wars,1977,50th Academy Awards,4/3/78,Best Supporting Actor,,Alec Guinness,4/2/14,64,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxMTA5OTI2M15BMl5BanBnXkFtZTYwNjEwNjU2._V1_UY317_CR16,0,214,317_AL_.jpg"
Julia,1977,50th Academy Awards,4/3/78,Best Supporting Actor,,Maximilian Schell,12/8/30,47,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MzYyNjkyMF5BMl5BanBnXkFtZTYwNzY2MjI2._V1_UY317_CR13,0,214,317_AL_.jpg"
The Turning Point,1977,50th Academy Awards,4/3/78,Best Supporting Actor,,Mikhail Baryshnikov,1/27/48,30,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0Mjk1MjE5MF5BMl5BanBnXkFtZTYwOTE5Njg0._V1_UY317_CR27,0,214,317_AL_.jpg"
Equus,1977,50th Academy Awards,4/3/78,Best Supporting Actor,,Peter Firth,10/27/53,24,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwNjE1NTk4NF5BMl5BanBnXkFtZTYwNDkxNDI0._V1_UX214_CR0,0,214,317_AL_.jpg"
Julia,1977,50th Academy Awards,4/3/78,Best Supporting Actress,X,Vanessa Redgrave,1/30/37,41,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3MjE0OTgzNF5BMl5BanBnXkFtZTcwOTQ3ODMwMg@@._V1_UY317_CR6,0,214,317_AL_.jpg"
Close Encounters of the Third Kind,1977,50th Academy Awards,4/3/78,Best Supporting Actress,,Melinda Dillon,10/13/39,38,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3ODM4MzAyNl5BMl5BanBnXkFtZTcwODUwODYzNA@@._V1_UY317_CR15,0,214,317_AL_.jpg"
Looking for Mr. Goodbar,1977,50th Academy Awards,4/3/78,Best Supporting Actress,,Tuesday Weld,8/27/43,34,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4NjI4MzEyM15BMl5BanBnXkFtZTYwNDUwNjI2._V1_UY317_CR2,0,214,317_AL_.jpg"
The Turning Point,1977,50th Academy Awards,4/3/78,Best Supporting Actress,,Leslie Browne,6/29/57,20,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjUwNTkzOTY4OV5BMl5BanBnXkFtZTcwOTQ3NTQ4Mw@@._V1_UX214_CR0,0,214,317_AL_.jpg"
The Goodbye Girl,1977,50th Academy Awards,4/3/78,Best Supporting Actress,,Quinn Cummings,8/13/67,10,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2MTA1MjY3NF5BMl5BanBnXkFtZTcwMzg0MTgwOA@@._V1_UY317_CR8,0,214,317_AL_.jpg"
Coming Home,1978,51st Academy Awards,4/9/79,Best Actor,X,Jon Voight,12/29/38,40,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NTE3NDA3M15BMl5BanBnXkFtZTgwMDMyNTM1MjE@._V1_UY317_CR3,0,214,317_AL_.jpg"
The Boys From Brazil,1978,51st Academy Awards,4/9/79,Best Actor,,Laurence Olivier,5/22/07,71,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwNjYwNDE5M15BMl5BanBnXkFtZTYwNzg0MDQ2._V1_UY317_CR18,0,214,317_AL_.jpg"
Heaven Can Wait,1978,51st Academy Awards,4/9/79,Best Actor,,Warren Beatty,3/30/37,42,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MjA5NDU5Nl5BMl5BanBnXkFtZTgwNDcyNDc1OTE@._V1_UX214_CR0,0,214,317_AL_.jpg"
The Deer Hunter,1978,51st Academy Awards,4/9/79,Best Actor,,Robert De Niro,8/17/43,35,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwNDU3MzcyOV5BMl5BanBnXkFtZTcwMjc0MTIxMw@@._V1_UY317_CR13,0,214,317_AL_.jpg"
The Buddy Holly Story,1978,51st Academy Awards,4/9/79,Best Actor,,Gary Busey,6/24/44,34,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NjM5NjE5NF5BMl5BanBnXkFtZTYwNTk3MjUz._V1_UY317_CR0,0,214,317_AL_.jpg"
Coming Home,1978,51st Academy Awards,4/9/79,Best Actress,X,Jane Fonda,12/21/37,41,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzQ5NTE2MDAzOV5BMl5BanBnXkFtZTgwOTQ3MTQ3MjE@._V1_UY317_CR27,0,214,317_AL_.jpg"
Autumn Sonata,1978,51st Academy Awards,4/9/79,Best Actress,,Ingrid Bergman,8/29/15,63,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzMTgzMTIwOV5BMl5BanBnXkFtZTYwNzI5MzI2._V1_UY317_CR20,0,214,317_AL_.jpg"
Interiors,1978,51st Academy Awards,4/9/79,Best Actress,,Geraldine Page,11/22/24,54,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3NDA2ODA2M15BMl5BanBnXkFtZTYwNjY1MTM2._V1_UY317_CR3,0,214,317_AL_.jpg"
"Same Time, Next Year",1978,51st Academy Awards,4/9/79,Best Actress,,Ellen Burstyn,12/7/32,46,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4MjYxMDc3MF5BMl5BanBnXkFtZTYwNzU3MDIz._V1_UX214_CR0,0,214,317_AL_.jpg"
An Unmarried Woman,1978,51st Academy Awards,4/9/79,Best Actress,,Jill Clayburgh,4/30/44,34,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3NTgyNjg5MV5BMl5BanBnXkFtZTcwMTQ5OTYwNA@@._V1_UY317_CR16,0,214,317_AL_.jpg"
The Deer Hunter,1978,51st Academy Awards,4/9/79,Best Supporting Actor,X,Christopher Walken,3/31/43,36,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4ODUyNDQ2NV5BMl5BanBnXkFtZTYwODk2MTYz._V1_UY317_CR3,0,214,317_AL_.jpg"
Comes a Horseman,1978,51st Academy Awards,4/9/79,Best Supporting Actor,,Richard Farnsworth,9/1/20,58,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2MDM1NTU2Nl5BMl5BanBnXkFtZTYwNjE2MzQ2._V1_UX214_CR0,0,214,317_AL_.jpg"
Heaven Can Wait,1978,51st Academy Awards,4/9/79,Best Supporting Actor,,Jack Warden,9/18/20,58,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1Mjk3Njc5MV5BMl5BanBnXkFtZTcwMDk2MzUzMQ@@._V1_UY317_CR7,0,214,317_AL_.jpg"
Coming Home,1978,51st Academy Awards,4/9/79,Best Supporting Actor,,Bruce Dern,6/4/36,42,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzMDE0MzAzOV5BMl5BanBnXkFtZTYwODQxMDQ1._V1_UY317_CR3,0,214,317_AL_.jpg"
Midnight Express,1978,51st Academy Awards,4/9/79,Best Supporting Actor,,John Hurt,1/22/40,39,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1NTgyMTAyOV5BMl5BanBnXkFtZTcwMTE4MjQwNA@@._V1_UY317_CR5,0,214,317_AL_.jpg"
California Suite,1978,51st Academy Awards,4/9/79,Best Supporting Actress,X,Maggie Smith,12/28/34,44,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NzYxNjc5Ml5BMl5BanBnXkFtZTYwMTMzOTg1._V1_UX214_CR0,0,214,317_AL_.jpg"
Interiors,1978,51st Academy Awards,4/9/79,Best Supporting Actress,,Maureen Stapleton,6/21/25,53,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNjk4MzYxN15BMl5BanBnXkFtZTcwMTUyMTQzMQ@@._V1_UY317_CR6,0,214,317_AL_.jpg"
Heaven Can Wait,1978,51st Academy Awards,4/9/79,Best Supporting Actress,,Dyan Cannon,1/4/37,42,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3Nzc3NTA5OV5BMl5BanBnXkFtZTYwOTY1MjI1._V1_UX214_CR0,0,214,317_AL_.jpg"
Coming Home,1978,51st Academy Awards,4/9/79,Best Supporting Actress,,Penelope Milford,3/25/48,31,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA2MTI3OTcxMDReQTJeQWpwZ15BbWU2MDg2MTg3Mg@@._V1_UY317_CR53,0,214,317_AL_.jpg"
The Deer Hunter,1978,51st Academy Awards,4/9/79,Best Supporting Actress,,Meryl Streep,6/22/49,29,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4Mjk5MDExOF5BMl5BanBnXkFtZTcwOTU1MTMyMw@@._V1_UY317_CR6,0,214,317_AL_.jpg"
Kramer vs. Kramer,1979,52nd Academy Awards,4/14/80,Best Actor,X,Dustin Hoffman,8/8/37,42,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3NzU0ODczMF5BMl5BanBnXkFtZTcwODEyMDY5Mg@@._V1_UY317_CR11,0,214,317_AL_.jpg"
The China Syndrome,1979,52nd Academy Awards,4/14/80,Best Actor,,Jack Lemmon,2/8/25,55,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5NTE3ODE1N15BMl5BanBnXkFtZTYwOTU1MTM2._V1_UY317_CR7,0,214,317_AL_.jpg"
Being There,1979,52nd Academy Awards,4/14/80,Best Actor,,Peter Sellers,9/8/25,54,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0MjE1MjczMF5BMl5BanBnXkFtZTYwMDIxNTQ2._V1_UY317_CR23,0,214,317_AL_.jpg"
All That Jazz,1979,52nd Academy Awards,4/14/80,Best Actor,,Roy Scheider,11/10/32,47,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA2ODY5ODg4OTdeQTJeQWpwZ15BbWU2MDUzOTM3Nw@@._V1_UX214_CR0,0,214,317_AL_.jpg"
...and Justice for All,1979,52nd Academy Awards,4/14/80,Best Actor,,Al Pacino,4/25/40,39,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzMzg1ODAyNl5BMl5BanBnXkFtZTYwMjAxODQ1._V1_UX214_CR0,0,214,317_AL_.jpg"
Norma Rae,1979,52nd Academy Awards,4/14/80,Best Actress,X,Sally Field,11/6/46,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwOTMyMDI4MV5BMl5BanBnXkFtZTcwMDYzMTM5OA@@._V1_UY317_CR8,0,214,317_AL_.jpg"
The China Syndrome,1979,52nd Academy Awards,4/14/80,Best Actress,,Jane Fonda,12/21/37,42,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzQ5NTE2MDAzOV5BMl5BanBnXkFtZTgwOTQ3MTQ3MjE@._V1_UY317_CR27,0,214,317_AL_.jpg"
Chapter Two,1979,52nd Academy Awards,4/14/80,Best Actress,,Marsha Mason,4/3/42,38,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0OTEyOTE0NV5BMl5BanBnXkFtZTcwODI3MzcyNA@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Starting Over,1979,52nd Academy Awards,4/14/80,Best Actress,,Jill Clayburgh,4/30/44,35,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3NTgyNjg5MV5BMl5BanBnXkFtZTcwMTQ5OTYwNA@@._V1_UY317_CR16,0,214,317_AL_.jpg"
The Rose,1979,52nd Academy Awards,4/14/80,Best Actress,,Bette Midler,12/1/45,34,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyNjU3NDYyMl5BMl5BanBnXkFtZTcwODUyNjY0MQ@@._V1_UY317_CR1,0,214,317_AL_.jpg"
Being There,1979,52nd Academy Awards,4/14/80,Best Supporting Actor,X,Melvyn Douglas,4/5/01,79,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5MDMxMDAxMV5BMl5BanBnXkFtZTYwODg1NDQ2._V1_UY317_CR16,0,214,317_AL_.jpg"
The Black Stallion,1979,52nd Academy Awards,4/14/80,Best Supporting Actor,,Mickey Rooney,9/23/20,59,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5NjA4MDU0MV5BMl5BanBnXkFtZTYwMDI0MzQ2._V1_UX214_CR0,0,214,317_AL_.jpg"
Apocalypse Now,1979,52nd Academy Awards,4/14/80,Best Supporting Actor,,Robert Duvall,1/5/31,49,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjk1MjA2Mjc2MF5BMl5BanBnXkFtZTcwOTE4MTUwMg@@._V1_UY317_CR6,0,214,317_AL_.jpg"
The Rose,1979,52nd Academy Awards,4/14/80,Best Supporting Actor,,Frederic Forrest,12/23/36,43,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzNDIyMDQwN15BMl5BanBnXkFtZTYwMzM5NzE1._V1_UX214_CR0,0,214,317_AL_.jpg"
Kramer vs. Kramer,1979,52nd Academy Awards,4/14/80,Best Supporting Actor,,Justin Henry,5/25/71,8,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzOTk3NjQ3MF5BMl5BanBnXkFtZTYwMDI1NzU0._V1_UY317_CR3,0,214,317_AL_.jpg"
Kramer vs. Kramer,1979,52nd Academy Awards,4/14/80,Best Supporting Actress,X,Meryl Streep,6/22/49,30,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4Mjk5MDExOF5BMl5BanBnXkFtZTcwOTU1MTMyMw@@._V1_UY317_CR6,0,214,317_AL_.jpg"
Breaking Away,1979,52nd Academy Awards,4/14/80,Best Supporting Actress,,Barbara Barrie,5/23/31,48,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI1ODIyNzI0MF5BMl5BanBnXkFtZTcwMTExNTg2OA@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Kramer vs. Kramer,1979,52nd Academy Awards,4/14/80,Best Supporting Actress,,Jane Alexander,10/28/39,40,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzODYyMTc0OF5BMl5BanBnXkFtZTYwNDc4NzU0._V1_UY317_CR10,0,214,317_AL_.jpg"
Starting Over,1979,52nd Academy Awards,4/14/80,Best Supporting Actress,,Candice Bergen,5/9/46,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3MTM1MTIxNTdeQTJeQWpwZ15BbWU3MDc4NDY2MjE@._V1_UY317_CR6,0,214,317_AL_.jpg"
Manhattan,1979,52nd Academy Awards,4/14/80,Best Supporting Actress,,Mariel Hemingway,11/22/61,18,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2ODI4ODc4MV5BMl5BanBnXkFtZTYwNjY1OTYz._V1_UY317_CR4,0,214,317_AL_.jpg"
Raging Bull,1980,53rd Academy Awards,3/31/81,Best Actor,X,Robert De Niro,8/17/43,37,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwNDU3MzcyOV5BMl5BanBnXkFtZTcwMjc0MTIxMw@@._V1_UY317_CR13,0,214,317_AL_.jpg"
Tribute,1980,53rd Academy Awards,3/31/81,Best Actor,,Jack Lemmon,2/8/25,56,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5NTE3ODE1N15BMl5BanBnXkFtZTYwOTU1MTM2._V1_UY317_CR7,0,214,317_AL_.jpg"
The Great Santini,1980,53rd Academy Awards,3/31/81,Best Actor,,Robert Duvall,1/5/31,50,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjk1MjA2Mjc2MF5BMl5BanBnXkFtZTcwOTE4MTUwMg@@._V1_UY317_CR6,0,214,317_AL_.jpg"
The Stunt Man,1980,53rd Academy Awards,3/31/81,Best Actor,,Peter O'Toole,8/2/32,48,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0MDYyNzczN15BMl5BanBnXkFtZTYwNjMzNjMz._V1_UY317_CR3,0,214,317_AL_.jpg"
The Elephant Man,1980,53rd Academy Awards,3/31/81,Best Actor,,John Hurt,1/22/40,41,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1NTgyMTAyOV5BMl5BanBnXkFtZTcwMTE4MjQwNA@@._V1_UY317_CR5,0,214,317_AL_.jpg"
